temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration
26.4,32.3,22.2,19.0,34689.01
21.3,23.5,19.8,44.6,0.0
19.1,21.0,16.5,12.5,4752.48
19.9,22.8,14.9,0.0,10609.81
21.2,25.9,19.0,1.2,15866.6
21.0,22.4,19.6,9.8,0.0
21.8,23.9,20.2,0.4,5427.93
23.3,26.9,20.6,0.1,27700.46
25.1,29.8,22.4,16.8,32436.15
24.9,29.0,23.4,25.5,14263.86
26.4,30.1,24.1,8.7,10800.0
27.0,31.4,24.0,7.0,23860.7
27.2,32.0,24.0,21.1,21577.55
26.6,29.0,24.6,12.9,9447.49
26.7,30.8,24.4,18.9,18294.21
26.4,28.4,24.5,25.3,0.0
26.0,29.8,24.4,36.6,10800.0
26.6,31.4,23.6,10.3,11723.93
24.2,25.9,23.4,11.3,0.0
27.2,30.6,24.4,2.4,23941.03
29.2,35.0,25.0,0.5,41584.79
29.5,35.4,25.3,0.0,45610.1
30.0,35.5,25.6,0.0,42459.14
29.8,35.4,25.6,0.4,43715.27
29.4,34.7,25.0,6.6,36862.32
28.3,34.2,24.9,3.5,34069.03
28.1,32.1,25.5,1.5,30562.71
29.0,34.2,25.1,2.2,36280.37
28.7,32.2,25.7,0.7,39686.16
28.6,32.3,25.3,1.9,36156.96
29.3,33.8,25.5,1.1,43409.62
29.6,34.2,25.6,0.7,43968.5
30.1,34.7,26.2,0.0,47248.79
30.2,36.2,25.0,0.0,47259.15
31.7,37.7,27.0,0.0,47828.25
31.3,37.0,26.1,0.0,47556.11
30.7,36.8,25.0,0.0,47562.61
30.5,36.1,25.7,0.4,47288.52
30.3,36.0,25.0,0.0,47013.5
30.6,36.5,25.1,0.0,46737.52
30.8,37.1,25.1,0.0,47017.33
31.4,38.2,26.5,0.4,46738.87
31.6,38.3,26.7,0.1,38957.77
31.2,38.5,26.0,0.7,42752.78
31.2,37.9,25.8,0.2,45744.26
30.2,36.2,25.7,0.0,44701.14
29.8,36.2,25.8,1.3,46999.25
31.1,37.8,25.5,0.3,46716.44
32.5,39.7,26.4,0.0,46984.59
32.7,39.2,26.5,0.0,46700.3
32.7,39.0,27.2,0.0,46415.67
31.2,36.5,26.0,0.0,46405.2
30.7,36.0,25.9,0.6,46393.58
30.4,36.0,26.6,2.7,41915.64
28.8,34.7,26.0,31.7,26020.79
26.2,27.0,25.6,109.6,0.0
26.6,28.4,25.5,63.5,0.0
26.8,28.7,25.6,8.8,4005.53
27.1,30.4,24.9,10.2,37262.96
27.7,31.1,25.6,5.2,35421.83
27.9,31.5,25.2,6.4,39514.52
28.7,32.5,26.0,1.1,45593.7
30.3,35.2,26.9,0.4,45336.65
31.2,35.0,28.2,0.0,45619.06
30.5,37.2,26.5,5.4,43200.0
29.4,35.0,24.9,0.3,45378.86
29.2,34.0,26.0,0.3,41925.88
28.7,33.3,24.9,0.2,45410.01
29.8,34.8,25.7,0.0,44359.26
29.8,35.3,25.5,1.6,43578.85
30.0,35.3,26.7,0.0,39999.36
29.9,34.0,26.5,3.3,42299.52
29.9,34.7,25.7,0.4,44172.06
30.4,35.4,27.1,0.7,36000.0
29.2,34.8,26.2,5.3,29048.76
26.9,30.5,25.1,15.3,20278.87
26.7,29.4,25.5,24.8,21793.01
26.4,29.1,24.9,19.1,9988.0
26.5,30.4,25.0,33.1,25099.49
26.8,30.2,25.0,22.1,31987.39
27.1,29.6,25.6,11.7,36000.0
26.5,29.1,24.8,9.1,15205.68
27.6,32.0,25.1,18.3,32058.3
28.0,30.5,25.6,14.8,41141.7
27.8,32.2,25.1,8.7,42348.02
27.8,31.7,25.0,10.0,39600.0
28.0,32.6,25.1,0.5,40881.08
28.6,32.4,25.2,0.0,43200.0
30.4,33.7,27.2,3.2,40408.75
27.6,30.9,26.0,26.0,21729.86
27.3,31.0,24.5,4.9,33587.93
28.6,33.0,25.1,1.7,43200.0
28.3,33.0,25.7,6.1,30076.82
29.5,32.7,26.4,2.2,41974.61
29.0,33.3,25.9,1.9,42560.59
27.6,31.9,24.5,0.3,41679.34
27.8,31.5,25.1,0.1,37526.71
28.5,32.0,25.8,0.3,38011.46
27.9,31.4,26.0,4.7,36098.65
26.9,30.1,24.9,10.1,29945.72
26.8,29.9,24.2,5.6,41760.26
27.0,31.0,23.7,2.2,43200.0
28.4,33.2,24.0,0.0,43200.0
29.3,33.7,25.4,0.0,43200.0
28.2,32.0,25.1,4.1,40215.7
27.2,30.9,23.9,1.2,39600.0
26.1,28.5,24.4,34.3,4353.28
26.2,28.3,25.0,19.1,31071.51
28.1,31.4,26.0,2.6,30929.14
27.6,31.5,24.3,2.7,40345.02
27.5,31.5,25.2,2.3,36000.0
27.8,31.0,25.1,6.9,34034.75
28.1,31.8,25.2,3.2,39895.82
28.0,33.0,24.8,47.8,36000.0
23.8,25.8,22.0,69.0,0.0
